Player,NOTES
Sam Darnold,"It hasn‘t been the start to his career that he‘d hoped for, as Darnold has finished as a QB1-type performer in just 6-of-26 games (23.1 percent). Even lowering the bar to a top-18-type performance, he‘s hit those marks in just 10-of-26 games, and that‘s why it‘s tough to rely on him as your QB2 in Superflex/2QB leagues. On top of those struggles, he‘s now dealing with two brand-new receivers on the perimeter with practically no offseason while playing for Adam Gase. That‘s like the trifecta of bad. Part of the issue has been the offensive line, though the Jets have tried to address that this offseason, snagging three players in free agency, and then another two in the first four rounds of the draft, including the mammoth of a man, Mekhi Becton, in the first round. That‘s an issue in itself, as offensive lines take time to develop continuity/consistency, so expecting that to happen with four or five new starters is going to be an issue. Darnold is just not in a position to succeed right now."
Giovani Bernard,"It‘s kind of crazy how fast everyone fell off the Bernard bandwagon, as he was once considered a borderline RB1. He is obviously behind Joe Mixon on the depth chart, but that‘s the only player standing between him and a 15-touch role. Mixon is also in a contract year and has threatened a holdout without a new contract. If we get closer to the NFL season and Mixon still hasn‘t been locked up long term, Bernard should be someone you consider in the late rounds."
Larry Fitzgerald,"Now entering his age-37 season, we kind of know what to expect from Fitzgerald. He did see a team-high 109 targets last year, and it‘s difficult to say his role changed much. He‘s going to be the safety valve over the middle of the field while DeAndre Hopkins and Christian Kirk work the perimeter. There were just six games that Fitzgerald broke the 50-yard barrier last year, so knowing he scored just four times, you understand the lack of upside despite his decent target share. Still, with Hopkins in the mix, that target share will certainly go down. Kyler Murray threw just 20 touchdown passes last year, so it was tough to expect more than the four that Fitzgerald scored. Even with a bump for Murray, it‘s tough to say the increased touchdown potential will make up for Fitzgerald‘s decreased target share. He‘s just a low-upside bye-week filler at this stage of his career. Even with an injury to someone like Hopkins or Kirk, we‘ve already seen that scenario in 2019, and it wasn‘t more than a WR4-type."
Corey Davis,"It wasn‘t long ago where we were drafting Davis as a top-30 receiver with breakout potential. He‘s now going outside the top-60 wide receivers. It certainly doesn‘t help that he had to have toe surgery and is now missing time with the team. It‘s nothing major but it does put him at a major disadvantage when A.J. Brown has overtaken the alpha role on the team. When a team has averaged just 440 pass attempts over the last two years, it‘s tough to find more than one player with value. The wide receivers have averaged 251 targets per season and a 57 percent target share. So, even if we get Tannehill to 480 pass attempts, we‘re looking at 274 targets for the receivers, and we know Brown is getting roughly 21-25 percent of the overall target share. It does help that Tajae Sharpe and his 35 targets are gone, so we‘re trying to find a way to divvy up 135-158 targets between Davis and Adam Humphries (and others). That‘s enough for him to be reliable at times, especially if Tannehill can maintain some momentum from last year. We also can‘t forget that if Brown were to miss time, Davis would likely step into that 20-25 percent target share, and as a former first-round talent in a contract year, he could surprise. He has a little bit of a DeVante Parker feel to him, because make no mistake about it, Davis is a good football player. I like him as a late-round bench stash."
Derek Carr,"You may or not know that Mike Mayock had an affinity towards Mariota during the 2015 NFL Draft. He‘s the GM of the Las Vegas Raiders, so when he got the opportunity to sign Mariota, he did. This is not great news for Carr, who has been solid, but not irreplaceable over the last two seasons under the Jon Gruden/Mayock regime. But instead of replacing him, they gave him competition, even if it‘s one he should win fairly easily. He‘s going to have a much better surrounding cast in 2020, as the Raiders drafted three skill-position players in the top three rounds of the draft, including wide receiver Henry Ruggs at No. 12 overall. The issue with liking Carr, however, is that he‘s never going to be an every-week starting quarterback in 1QB leagues; we‘ve learned that by now. He‘s also not someone you can fully trust as your QB2 in Superflex/2QB formats now that he has actual competition on the roster."
Laviska Shenault Jr.,
O.J. Howard,"One of the more talented tight ends in the league, but also someone who is going to play second fiddle to Rob Gronkowski. The Bucs have said they‘ll be running a lot more 2TE sets, but it remains to be seen. With the other receiving options they have ahead of Howard, it‘s tough to see a path to consistent production. If Gronkowski were to miss time, Howard would jump into the TE1 conversation."
Randall Cobb,"Remember how many people were fading Cobb last year, saying he‘d passed his prime and wanted nothing to do with him now that he was separated from Aaron Rodgers? He went on to post his most yardage since 2015. Granted, it took him 83 targets to get there, but he showed that he was capable. Deshaun Watson hasn‘t been a quarterback to target his slot receivers a whole lot, but he‘s never had a possession-style on like Cobb, and he‘s never played without DeAndre Hopkins. Will things change? It‘s certainly within the realm of possibilities. The issue is that Keke Coutee and Kenny Stills are also solid slot receivers who can fill that role, if needed. My issue with Cobb is... what‘s the upside? Cole Beasley-type numbers from last year? He even finished as the No. 34 wide receiver, but was any fantasy owner excited to put him in their lineup? Maybe during bye weeks but that‘s about it. He‘s just a WR5-type option to me, and one who lacks upside."
DeAndre Washington,"After being the primary backup with the Raiders for the past four years, Washington signed with the Chiefs this offseason. Although the Kansas City offense offers incredible opportunities for running backs, there is still plenty of competition for touches even with Damien Williams opting out for the season. The Chiefs spent a first-round pick on Clyde Edwards-Helaire and continue to roster Darwin Thompson and Darrel Williams. There‘s certainly a chance that Washington works his way into decent touches, but given the competition, he shouldn‘t be drafted until one of your very last picks."
Bryce Love,
Robbie Gould,"Despite seeing plenty of attempts with the 49ers, last year was fairly disastrous for Gould, as he hit just three quarters of his field goal attempts. He‘s 37 years old now, so the bottom may have fallen out on the veteran. But for now, he remains an historically accurate kicker on a team the routinely provides its kickers with plenty of field goal attempts. That makes him worth drafting in most fantasy leagues."
Denver (DEN),
Philadelphia (PHI),
Dede Westbrook,"Of the top of your head, do you know how many receivers received 100-plus targets last year? 30. Westbrook was one of them. There‘s a new offense being installed, but Westbrook should fit Jay Gruden‘s offense quite well. Remember Jamison Crowder while in Washington? Has seasons with 103 and 99 targets, so it‘s definitely in reach. We did hear that Gruden plans to use D.J. Chark in the slot a bit more, which tells us that Westbrook won‘t be pigeonholed into the slot role that he‘s been the last couple years. Westbrook has real speed on the perimeter and could be more than just a target-heavy slot receiver. We know that second-round pick Laviska Shenault had core muscle surgery this offseason which might put him behind the learning curve, and it‘s not like the Jaguars have any allegiance to Chris Conley, so it‘s possible that Westbrook is the 2020 version of Jamison Crowder in 2019 (finished as the WR31) with more vertical play upside. The best part is that you can grab him with one of your last picks and find out almost immediately."
Dawson Knox,"There were some plays that Knox made last year that suggested he could be a fantasy asset in the future, but the Stefon Diggs trade threw a wrench into any increase in projected targets we could give him. There were eight games where Knox had four-plus targets in his rookie season, which is actually quite good, but we can‘t pretend the Bills are going to become a team that throws the ball 600 times overnight. Knox is someone you might want to stream when the Bills receivers have tough matchups, but even then, it‘s going to be hard to project more than five targets for the second-year tight end."
Jerick McKinnon,"It‘s been a while since we‘ve seen McKinnon on a football field. He‘s been with the 49ers for two years but hasn‘t played a down of regular season football. Now that they‘ve traded away Matt Breida, there‘s a role to be had, but we don‘t know if he‘s capable at this stage of his career. There‘s been some whispers that he may not make the team, though that may be a surprise considering they‘ve held onto him this long. Between Raheem Mostert, Tevin Coleman, and McKinnon, it‘s going to be tough to find consistent volume and production in this backfield."
Steven Sims,"It would really make sense for Washington to use Sims in a bigger role this year, as he looked the part at the end of 2019. Over the team‘s final four games, he racked up 36 targets, 20 receptions, 230 yards, and four touchdowns while manning the slot. Sure, Antonio Gibson is the new toy in the offense, but Ron Rivera has already said that he views him as a running back. When Washington goes three-wide, Sims should be out there in the slot, but that‘s just my opinion. We could see Gibson or even Trey Quinn play that role. Without preseason action, there are just too many question marks. Depending on which receiver is in the slot, he should have some value throughout the year as a streamer, but you shouldn‘t need to spend a late draft pick on them, as that is your time to take ultra-high upside picks."
Matt Gay,"Gay had a bizarre rookie year with the Bucs, in that he finished as a top kicker but really struggled in terms of his accuracy (77% on field goals). His production simply came from his extremely high number of opportunities - he had 35 field-goal attempts and 48 extra-point attempts, both in the top-four in the league. He should similarly be among the leaders in attempts this year with Tom Brady at the helm, and if he can improve on his accuracy, he has a legitimate chance to finish as the top fantasy kicker."
Matt Prater,"Prater is getting up there in age, but he remains one of the most accurate long-range kickers in the game. He hit 7-of-8 field goals from 50 or more yards last year, and nearly 84% of his overall attempts. He‘s also missed just two extra-point attempts over the last three seasons. On a good but not elite offense that will trust him from long range, Prater makes one of the best kicker options in fantasy."
John Ross,"We don‘t know for certain who the No. 3 wide receiver will be in the offense to start the year, but knowing there‘s been limited workouts, my guess would be that Ross is the guy. He compliments A.J. Green and Tyler Boyd well, while Tee Higgins would clash with Green. If you don‘t think Ross is a good football player, I urge you to get on NFL Game Pass and watch him. There were a lot of times he was open for what would‘ve been a long gain/touchdown, but Andy Dalton simply missed him. Insert Joe Burrow, who completed 76.3 percent of his passes at LSU last year, including feather-like touch on his deep ball. Ross saw five-plus targets in 6-of-8 games last year, so it‘s clear that Zac Taylor felt he could make a difference. With both Green and Boyd healthy, Ross won‘t be seeing that consistent of targets, but should either of them miss time, Ross would be a plug-and-play upside option. Contrary to belief around the industry, Ross should be selected in one of the final rounds of your draft."
Denzel Mims,"I like Mims, similar to the way I liked Michael Gallup coming into the league. Not that they‘re the same player, but rather people didn‘t know how good they were until they looked past the school they played for. Mims is a possession-style receiver who can stretch the field, as evidenced by his 4.38-second 40-yard dash he ran at the Combine. He should become a favorite of Sam Darnold in the red zone, as he plucks the ball out of the air with his strong mitts. He‘ll be battling with Breshad Perriman for targets on the perimeter, while Jamison Crowder remains the safety valve in the slot. Robby Anderson did see 96 targets last year while Demaryius Thomas saw 58 of them (in 11 games), so there‘s room for a fantasy producer. The issue is that Mims is a rookie who hasn‘t seen any preseason action and hasn‘t had much time to be around the team. The same can be said for Perriman, so there‘s a route to immediate production with Mims, though Adam Gase has not been friendly to perimeter wide receivers. Over the last four years, his top receivers were Jarvis Landry (twice), Danny Amendola, and Jamison Crowder... all slot receivers. It‘s best to be cautious with rookie wide receivers, especially this year, even if I like who Mims is as a player. Selecting him in one of the final rounds makes sense, as you‘ll find out what you have over the first two weeks and decide whether you want to cut bait or stick with him."
Rashaad Penny,"It seems that Penny will start the year on the PUP list after tearing his ACL towards the end of last year. That would knock him out for at least the first six weeks, which is not something fantasy owners should be looking to draft. Even when he returns, we don‘t know where he stands on the depth chart, as they still have Chris Carson, then drafted DeeJay Dallas in the fourth round, and also signed Carlos Hyde in free agency. Unless you have an IR spot, Penny should be on waivers to start the season."
Los Angeles (LAC),
Ito Smith,"Some are automatically assuming that Smith is the handcuff to Todd Gurley, but I wouldn‘t be so sure. The Falcons were talking about benching Smith prior to him getting injured last year. It‘s not like Brian Hill did a lot to change their mind, but it‘s likely they‘d split the carries among them."
Jake Elliott,"Elliott actually had his most accurate year of his career (84.6% field goal percentage, 35-of-37 extra points made), but he simply saw fewer chances. After seeing 31 field goal attempts in each of his first two seasons, he saw just 26 last year, and only 11 from at least 40 yards. The Eagles offense should be somewhat better this year if the team can avoid similar devastating injuries to its receivers, which should mean more chances for Elliott. He‘s a borderline starter in 12-team leagues."
Zane Gonzalez,"Gonzalez finished as the fifth-best kicker in fantasy last year, buoyed by his 35 attempts. He also hit nearly 89% of his attempts, a number inflated by the fact that the vast majority of his chances (25) came inside 40 yards. The Cardinals should have a strong offense this season, again offering Gonzalez plenty of opportunities and the chance to finish as a top-12 kicker in fantasy."
Tennessee (TEN),
Cole Beasley,"It‘s odd, but the trade for Stefon Diggs doesn‘t really affect Beasley‘s role at all. He‘s the slot receiver in the offense when they go three-wide, and he‘s the safety valve for Josh Allen. With that being said, many more plays will be designed to the perimeter in order to get the ball into Digg‘s hands. That will cap the number of targets Beasley sees, which was at a tremendous 104 last year. Even without Diggs on the roster last year, Beasley produced just two games with more than 14.3 half PPR points, so it‘s not like you were winning weeks because of him. He was a fine streamer during bye weeks as someone who wouldn‘t crush your lineup. Lowering expectations to around 80-85 targets, Beasley‘s floor has been lowered and there will be better options to choose during bye weeks in 2020."
Ka'imi Fairbairn,"Fairbairn‘s accuracy fell significantly last year, from 88.1% on field-goal attempts and 95% on extra-point attempts in 2018, to 80% and 89%, respectively, last year. To make matters worse, Fairbairn‘s field-goal attempts dropped from 42 down to 25 last year. It‘s the perils of drafting any fantasy kicker, but on a decent offense and kicking mostly indoors, Fairbairn is worth drafting in a 12-team league."
Jalen Richard,"It‘s odd that Richard was re-signed to the Raiders roster when they said they wanted to get Josh Jacobs more involved in the passing game, as Richard is the primary competition. Not just that, but they then drafted running back/wide receiver Lynn Bowden in the second round. However we slice it, Richard isn‘t likely to top the 43 targets he got in 2019, which makes him a non-factor in fantasy leagues."
Gus Edwards,"Edwards could probably be a star if he got a full workload in Baltimore. He‘s averaged 5.3 yards per carry in his career and has lost just one fumble in two seasons. He would have been a high-end handcuff for Mark Ingram this year, but the addition of J.K. Dobbins essentially relegates Edwards to irrelevancy. He‘d almost certainly need multiple injuries to have much fantasy value, and despite the high upside in that unlikely scenario, he‘s not worth wasting a roster spot on."
Indianapolis (IND),
Kyle Rudolph,"Rudolph scored six touchdowns last season, but overall, it was a disappointing effort from the veteran. He essentially split targets with Irv Smith Jr. (seeing just 48, his lowest since 2014), and had just 39 catches for 367 yards, both well below his usual numbers. Even without Kevin Stefanski, the Vikings are surely going to be a run-first offense once again, which will leave Rudolph searching for targets for the second straight season, well outside of TE1 consideration."
Seattle (SEA),
Jace Sternberger,"He was a popular late-round pick earlier this offseason, but after he was placed on the COVID list and forced to miss out on training camp, he‘s falling further down draft boards, and most of the time not being drafted at all. Packers tight ends have failed to eclipse 103 targets combined in six of the last seven years. It typically takes 80-plus targets for a tight end to finish in TE1 territory without tons of touchdowns, and though Rodgers has thrown plenty of those, his tight ends haven‘t combined for more than nine touchdowns in each of those seven seasons. This would be Sternberger‘s first trip into the starting lineup, so it‘s tough to expect much from a young tight end, even though I did like him as a prospect last year. He‘s someone that you‘ll be able to use as a streamer from time-to-time, but he won‘t be your every-week solution at tight end."
Tee Higgins,"I believe the Bengals selected their eventual A.J. Green replacement in Higgins. He‘s not the most physically gifted or athletic receiver, but Higgins continually makes plays look easy. The game simply comes to him naturally. He has a lot of room to grow as a complete receiver, though, so he should be learning and paying attention to Green‘s habits throughout the 2020 season. Should Green miss time, Higgins would likely get the nod over the inefficient Auden Tate, who finished 23 spots lower than he should‘ve based on his expected fantasy output. Some are expecting Higgins to start as the No. 3 wide receiver over John Ross, but I‘m not one of them, especially with the shortened offseason. If any of the starters were to miss time, Higgins would absolutely be worth a pickup."
Kenny Stills,"Stills wasn‘t heavily involved last year after a preseason trade to the Texans, and he missed three games do to injuries. But he did rank seventh in the league in yards per target and had the fourth highest catch rate (72.7%) among wide receivers. Although DeAndre Hopkins is gone, the Texans added Brandin Cooks and Randall Cobb, so it‘s unlikely that Stills will suddenly have an important role on the team. Given that he‘s never had more than 63 catches or 931 yards receiving, it‘s unlikely that he‘ll be worth rostering this season."
Green Bay (GB),
Michael Badgley,"Badgley missed the first eight games of the season with a groin injury, but was reliable once he returned. He didn‘t miss a single field goal from within 45 yards, though he struggled from distance a bit. On a team that should play conservatively and rely on their defense, Badgley should see enough opportunities to warrant consideration in most fantasy leagues."
Rex Burkhead,"With Tom Brady out of town, we know the Patriots are going to be running the ball much more. The issue is that they‘ve shown a significant amount of trust in Sony Michel, invested a third-round pick on Damien Harris, and James White isn‘t going anywhere. That‘s a lot of mouths to feed. Burkhead is someone you look to if there‘s injuries to others, but it‘s unlikely he‘s an asset with everyone healthy."
Dan Bailey,"After two years in which he struggled with his accuracy, Bailey bounced back last season by hitting 93.1% of his field-goal attempts, including hitting all three from 50-plus yards. Unfortunately, he saw just 29 attempts, the third straight year in which he saw fewer than 30. Bailey is a decent option in 15-team leagues, but nothing more."
Mason Crosby,"Crosby is coming off the most accurate year of his career (91.7% on field goals, 40-of-41 extra-point attempts converted). But he saw just 24 field goal attempts after seeing 37 the previous year. The Packers offense isn‘t what it once was, and Crosby spends the majority of his games kicking outside in cold weather. He‘s a borderline draftable kicker but there‘s little to get excited about."
Will Dissly,"Injuries have sadly derailed the production for Dissly, but when on the field, he‘s been ridiculously good. He‘s only played 10 games, but in those games, he‘s posted TE1-type numbers in 60 percent of them. That‘s the same percentage as George Kittle in his career. Again, it‘s a small sample size, but as the 31st tight end off the board? He‘s well worth the risk. And no, don‘t worry about Greg Olsen."
Mohamed Sanu,"It‘s crazy to think the Patriots gave up a second-round pick for Sanu last year, especially when you know he‘ll turn 31 later this year. He‘s going to start for them, and it‘s possible his value went up with Cam Newton‘s signing, though it‘s important to remember Newton has thrown more than 24 touchdowns in his career just once. Still, Sanu tried playing through injuries with the Patriots last year and it affected his production. He may have some bye week streaming appeal if Newton can get his career back on track."
Tampa Bay (TB),
Younghoe Koo,"Although Koo‘s 2019 season will be remembered primarily for his three successful onside kicks in Week 14 against the Saints, he actually had a pretty dominant year for the Falcons. Despite playing just eight games, he had 26 field-goal attempts, converting 23 of them. Back with the Falcons and kicking indoors, Koo should easily finish as a top-12 kicker this season if he can again hit 88.5% of his field-goal attempts."
Dallas (DAL),
Gerald Everett,"Everett wasn‘t a startable tight end for most of the season anyway, but he dealt with injuries over the last several weeks of the year and was completely irrelevant. Unfortunately for Everett, Tyler Higbee emerged as a force down the stretch, furthering deepening the divide between Everett and fantasy-relevancy. He‘s beyond even TE2 consideration at this point."
Tyrod Taylor,"Taylor certainly has the potential to be a viable quarterback option in deeper two-quarterback leagues with a soft early schedule, especially with an improved Chargers offensive line. The problem for Taylor is that Los Angeles is almost certainly going to lean on its strong defense and rely on its running game, which isn‘t a recipe for fantasy production from a quarterback. Even if he does hold off Justin Herbert for the full season, his likely low pass volume should hold his fantasy value in check."
Justice Hill,"It was a shame we didn‘t get to see Hill in a bigger role last year, but we all felt that Mark Ingram was a year closer to the end, and Gus Edwards was going to be a free agent. Well... Ingram is still closer to retirement, but Edwards was retained by the team, and then they went and drafted JK Dobbins in the second round, eliminating the shot of Hill getting a bigger role. He‘s going to be stuck in the 4-6 touches per game role unless there are multiple injuries."
Cleveland (CLE),
Royce Freeman,"Freeman carved out a role on the short side of a platoon with Phillip Lindsay in the first half of the season, particularly with his involvement as a receiver. But the Broncos turned over nearly full control of the backfield to Lindsay toward the latter half of the season, and Freeman lost nearly all value. Now, with Melvin Gordon in the fold, it‘s nearly impossible to see Freeman adding any fantasy value absent multiple injuries. There‘s no reason to be concerned about him absent extremely deep leagues."
Jason Myers,"Myers’ first year in Seattle was a disappointment coming off his stellar 2018 with the Jets. He missed four extra points, and was only 6-of-11 from 40-plus yards. Kicking for Seattle‘s offense should be a good thing, however, as the Seahawks have a solid offense but often like to play conservatively. But, at this point, Myers is just one of a handful of low-end kickers you can consider drafting in a 15-team league."
Darrel Williams,
Brandon McManus,"McManus bounced back from a few sub-par years, hitting 85.3% of his field-goal attempts and all but one of his extra-point attempts. The biggest difference for McManus was that he saw 34 field-goal tries, second-most of his career. With more offensive weapons for Drew Lock and a sturdy defense, McManus should again see plenty of chances. In the thin air in Denver, he‘s a decent bet to finish as a top-12 kicker."
New York (NYJ),
Miles Boykin,"Have the Ravens written him off as a bust? After drafting him in the third round last year, they had him playing behind guys like Seth Roberts and Willie Snead. He played just 27.2 snaps per game and saw just 22 targets his rookie year despite being healthy for all 16 games. He did score three touchdowns on those targets, and outside of Mark Andrews, he‘s probably the dark horse to lead the team in receiving touchdowns at 6-foot-4 and 220 pounds. Still, he needs to be on the field for that to happen. My guess would be that he starts on the perimeter opposite Marquise Brown with Roberts gone, so there‘s some sort of opportunity here. The issue is that they targeted wide receivers just 172 times last year. Even a 15 percent increase (which is a lot) would bring them up to 200 targets. Without an injury, it‘s going to be difficult for Boykin to see more than 50-60 targets, even as a starter."
Tyler Eifert,"We‘ve seen tight ends have success in Jay Gruden‘s offense and Eifert does have one year of experience in his offense, dating all the way back to 2013. He‘s on his third straight one-year deal, as no team wants to commit to him. The Jaguars will be racking up the pass attempts, and they did just lose Josh Oliver for the season. It‘s possible Eifert has streamable weeks, but he‘s not in the every-week consideration."
Josh Reynolds,"Did the draft pick of Van Jefferson affect Josh Reynolds’ role as the No. 3 receiver in the offense? Jefferson fits more of the Brandin Cooks mold than Reynolds, which is where there‘s some hesitance to draft Reynolds in 2020. However, we do have a history that shows when he is in the starting lineup, he produces. In the 14 games he‘s seen four-plus targets, he‘s totaled 46 receptions for 613 yards and seven touchdowns. There‘s a chance he‘s being underdrafted, but there‘s also a chance that he remains the No. 4 receiver on the team."
Dwayne Haskins,"Yes, Alex Smith has been cleared for football activities. No, that does not mean he‘s ready to play football yet. I‘m rooting for him, as it‘s a phenomenal story, but this is Haskins’ team for the foreseeable future. Looking at his numbers over his rookie season, they weren‘t what you‘d call good, though if you break them down by week, he was getting better. He threw four interceptions on his first 22 NFL passes. From that point, he threw seven touchdowns to three interceptions over his next 181 pass attempts. It‘s such a small sample size we have to go off, and on top of that, he has an entirely new coaching staff behind him. For a quarterback who was supposed to take time to develop, there are more changes than you‘d prefer. The biggest issue is his offensive line that may not be able to give him more than a couple seconds after trading away Trent Williams. Outside of Terry McLaurin, he really doesn‘t have any proven commodities in the passing game, either. Generally, when a team has a new head coach, we see them have a big decrease in pass attempts unless they go from a defensive-minded coach to an offensive one. That‘s not the case here, meaning Haskins is unlikely to throw the ball a whole lot. Let‘s be real - you‘re not drafting him in 1QB leagues, and he‘s not someone you‘re aiming for in 2QB leagues, either."
Bryan Edwards,"If you‘re someone who listens to the news blurbs about players, you‘d see that Derek Carr said Edwards reminds him of Davante Adams. Knowing they played together at California State, that‘s quite the compliment. Still, by statements the team has made, it appears that Edwards is on the outside of the starting lineup looking in at the start of the year, though that shouldn‘t last long. Here‘s my final line from Edwards’ scouting report this offseason: If he gets an opportunity to play (was projected for 3rd/4th round), he can produce in the NFL. If they‘re planning on using Henry Ruggs in the slot, Edwards would make a good complement to Tyrell Williams on the perimeter. That would leave Hunter Renfrow out of the equation, as he‘s pretty much a slot-only receiver. So, again, if they‘re being truthful about Ruggs in the slot, Edwards should get some playing time immediately in 3WR sets, making him an intriguing pick in one of the last few rounds. You need players like him on your roster who you can cut bait on almost immediately if he‘s not getting playing time."
Frank Gore,"Leave it to Adam Gase to bring back Frank Gore for one more season. The last time Gore played for Gase (in 2018), he tallied 722 yards on the ground but failed to score a single touchdown. Now playing behind Le‘Veon Bell, Gore is going to be relied upon for 5-8 carries per game, which means very little in the Jets low-scoring offense."
Danny Amendola,"Raise your hand if you knew Amendola had 96 targets last year. Now put your hand down, liar. It was his first year with the team and he clearly had a big role, though he turned those 96 targets into just 678 yards and a touchdown. It does help his projection to know that Geronimo Allison opted out, as he‘s someone who could‘ve stole slot snaps. Despite being targeted five-plus times in 10-of-15 games last year, Amendola topped 47 yards just four times, and it‘s not as if touchdowns will help make up for that, as he‘s scored once every 37.9 targets over the course of his 11-year career. He‘s a last-ditch bye-week option who‘ll likely have somewhat of a stable floor in PPR formats, but that‘s about it."
Jimmy Graham,"There wasn‘t a single Bears tight end who recorded 100 yards last year. No, I‘m not talking about a game. I‘m talking about the entire season. Signing Graham isn‘t something they should‘ve done to solve that issue. He‘ll be 34 years old in November and has averaged just 6.5 yards per target the last three years, and that‘s despite playing with Russell Wilson and Aaron Rodgers. At 6-foot-6 and 260 pounds, he can still come down with a jump ball from time-to-time, but he‘s not someone you should hinge your fantasy season on. He‘s a streamer, at best."
Chris Boswell,"After a disastrous 2018 season, Boswell bounced back in a big way last year, hitting 93.5% of his field-goal attempts and all 28 of his extra-point attempts. Boswell‘s upside is limited somewhat by Heinz Field, a notoriously difficult place to kick because of its turf. Indeed, Boswell has attempted just 11 field goals of 50-plus yards in his five seasons. Nevertheless, with Ben Roethlisberger returning, the Steelers offense should move the ball with ease, providing Boswell with plenty of opportunities, which may make up for the lack of long attempts."
David Njoku,"Not only did the Browns add Austin Hooper in free agency, but they decided to throw down a fourth-round pick on Harrison Bryant, another tight end to add to the mix. The Browns further hurt Njoku‘s value when they picked up the fifth-year option on his contract. He‘s in a bad place right now. All dynasty owners can hope is that he‘s traded."
Russell Gage,"Once Mohamed Sanu was traded, Gage saw a ridiculous 66 targets in nine games, though it did help that both Calvin Ridley and Austin Hooper both missed time during that stretch. I expected the Falcons to fill that role with someone in the draft or free agency, but it never happened, so it‘s possible we see Gage as a bye-week filler on fantasy rosters, especially if any of the other pass-catchers were to miss time. There isn‘t much upside here, though. Best case scenario is that we‘re looking at someone like Cole Beasley from 2019. Again, could play a role in fantasy, but don‘t see a consistent fantasy producer."
Chris Conley,"Not many realize just how good of a year Conley had in 2019, racking up 90 targets, 47 receptions, 775 yards, and five touchdowns. It may not matter, though. The Jaguars drafted his eventual replacement in Laviska Shenault in the second round of the NFL Draft, so it‘s only a matter of time before Conley is booted from the starting lineup. Shenault did have offseason core muscle surgery, so it‘s possible Conley can hold him to start the year, but that‘s far from a guarantee."
Tre'Quan Smith,"It seems many have simply forgotten that Smith is still on the roster despite being a third-round pick by the Saints just two years ago. It‘s fair considering he‘s seen just 69 targets in that span, but what if Michael Thomas had to miss some time? Smith has averaged a ridiculously high 9.6 yards per target in his first two seasons and can be lined up all over the field. He‘s also scored a touchdown every 6.9 targets (10 of them on 69 career targets). If you play in a dynasty league and Smith can be had on the cheap, make that move. It‘s very possible he‘d be the top receiver on the team if Thomas were held out, as he has experience in the offense and the Saints have every reason to want him to succeed. Keep him on waiver wire speed dial in redraft leagues."
Darwin Thompson,"Remember when Thompson had an incredible preseason and everyone wanted to draft him as the potential starter in this backfield? One year and 46 touches later, no one is drafting the second-year running back. He‘d need multiple injuries to find his way into fantasy relevance, as both Clyde Edwards-Helaire and Damien Williams are well ahead of him on the depth chart."
Brian Hill,
Dion Lewis,"Lewis is highly unlikely to see significant touches so long as Saquon Barkley is healthy. Even if Barkley were to get injured, Lewis is now 29 years old and does not have the frame to take over every-down work. In other words, his best-case scenario is 10-12 touches with work in the passing game, and there are obstacles to reach that point. There‘s little reason to consider Lewis in your fantasy draft."
Peyton Barber,"Barber never found sustained success with the Bucs, and will now try his hand with the Redskins. Unfortunately, it‘s a bad situation for Barber. Not only does he find himself in a below-average offense with a sub-par offensive line, he‘ll also be competing with Derrius Guice, Adrian Peterson, J.D. McKissic, Antonio Gibson, and Bryce Love. The amount of hurdles that Barber needs to clear to be relevant in fantasy are numerous, and there‘s no reason to consider him for fantasy purposes."
Joey Slye,"Slye struggled a bit with his accuracy in his rookie year, missing four extra-point attempts and hitting just 78.1% of his field-goal tries. He‘ll likely see a fair amount of attempts this year with Teddy Bridgewater guiding a decent but less than explosive offense, but he‘ll need to start converting more of his attempts to make him worth drafting in standard-sized leagues."
Andy Isabella,"Isabella saw just 13 targets last season after being selected in the second round of the draft, and would have potentially been considered a breakout candidate in deeper leagues heading into the year. Unfortunately, with the addition of DeAndre Hopkins and the return of Larry Fitzgerald, it will be nearly impossible for Isabella to return any value this season. In dynasty leagues, he‘s worth holding onto, but ignore him for redraft purposes."
Ryan Fitzpatrick,"We‘ve already heard Fitzpatrick say that he‘s “just a placeholder” for Tagovailoa, but it wouldn‘t be wise to throw a rookie quarterback coming off hip surgery to the wolves with no game experience in Week 1. The Dolphins bye isn‘t until Week 11, which is a long time for Tagovailoa to be waiting in the wings. You want to find a soft spot in their schedule to start him, but looking at their schedule, there‘s only a small window in Weeks 3 against the Jaguars, but that‘s proceeded by games against the Seahawks, 49ers, Broncos, and Chargers. In all honesty, Week 9 against the Cardinals might make the most sense, as they also get the Jets in Week 10, then their bye week. Whatever the case, Tagovailoa will start at some point. Fitzpatrick was a great streamer in 2019. In fact, he‘s been a great streamer the last three years. He‘s started just 23 games in that stretch but has posted QB1-type numbers in 14 of them, or 60.9 percent. Did you know that just seven quarterbacks topped 50 percent in 2019? As mentioned, though, the Dolphins don‘t have a great start to their schedule. Like most scenarios that have multiple quarterbacks, this is a situation to attack in 2QB/Superflex leagues, as you can snag both of them late in your draft and simply start the one who‘s under center. Fitzpatrick already showed he can make it work with the players around him, while Tagovailoa was once considered the No. 1 pick over Joe Burrow."
LeSean McCoy,
